Analog register    1:   16.6 °C   Supply temperature (Air/Ground); Remarks: Depending on source type
Coil register   21:      0 -    Alarm; Remarks: 0=- |  1=Low brine outlet temperature
Coil register   24:      0 -    Alarm; Remarks: 0=- |  1=Ecogeo internal probes fault
Coil register   25:      0 -    Alarm; Remarks: 0=- |  1=Low pressure brine circuit
Coil register   26:      0 -    Alarm; Remarks: 0=- |  1=Low pressure Heating circuit
Coil register   29:      1 -    Group SG 3 Heating Curve; Remarks: 0=Fixed temperature |  1=Heating curve
Coil register   30:      1 -    Group SG 4 Heating Curve; Remarks: 0=Fixed temperature |  1=Heating curve
Coil register   31:      0 -    Group SG 3 Cooling Curve; Remarks: 0=Fixed temperature |  1=Cooling curve
Coil register   33:      0 -    Alarm; Remarks: 0=- |  1=Evaporation temperature
Coil register   34:      0 -    Alarm; Remarks: 0=- |  1=Low suction pressure
Coil register   36:      0 -    Alarm; Remarks: 0=- |  1=AI2 Probe failure Compressor suction Pressure
Coil register   37:      0 -    Alarm; Remarks: 0=- |  1=AI1 Probe failure. Compressor suction temperature
Coil register   38:      0 -    Alarm; Remarks: 0=- |  1=Low superheat (lowSH)
Coil register   39:      0 -    Alarm; Remarks: 0=- |  1=Low evaporation temperature (LOP)
Coil register   40:      0 -    Alarm; Remarks: 0=- |  1=High evaporation temperature (MOP)
Coil register   41:      0 -    Alarm; Remarks: 0=- |  1=Low suction temperature
Coil register   42:      0 -    Group SG 4 Cooling Curve; Remarks: 0=Fixed temperature |  1=Cooling curve
Coil register   44:      0 -    Onbekend th_T1; Remarks: 0=Inactive |  1=Active
Coil register   45:      0 -    Onbekend th_T2; Remarks: 0=Inactive |  1=Active
Coil register   46:      0 -    Onbekend; Remarks: 0=Inactive |  1=Active
Coil register   47:      0 -    Onbekend; Remarks: 0=Inactive |  1=Active
Coil register   48:      0 -    Onbekend; Remarks: 0=Inactive |  1=Active
Coil register   49:      1 -    User Activation DHW Remote Control; Remarks: 0=Disabled |  1=Enabled
Coil register   50:      1 -    Alarm; Remarks: 0=Active |  1=Inactive
Coil register   52:      0 -    Activation Reversing cycle valve (DO11); Remarks: 0=Disabled |  1=Enabled
Coil register   53:      1 -    on/off control by BUS; Remarks: 0=Disabled |  1=Enabled
Coil register   57:      0 -    Activation SG 2 (DO7); Remarks: 0=Inactive |  1=Active
Coil register   58:      0 -    Activation DHW (DO3); Remarks: 0=Inactive |  1=Active
Coil register   59:      0 -    Activation Passive coolinf valve (D)12); Remarks: 0=Inactive |  1=Active
Coil register   60:      0 -    Activation DG 1 (DO6); Remarks: 0=Inactive |  1=Active
Coil register   61:      0 -    Activation Pool device (DO5); Remarks: 0=Inactive |  1=Active
Coil register   62:      0 -    Onbekend Pool; Remarks: 0=Inactive |  1=Active
Coil register   63:      0 -    Remote Control - Winter/Summer - Logic DI2; Remarks: 0=Inactive |  1=Active
Coil register   64:      0 -    DHW Operation Mode; Remarks: 0=Inactive |  1=Active
Coil register   65:      0 -    Activation Pool; Remarks: 0=Inactive |  1=Active
Coil register   66:      1 -    Pool Logic DI4; Remarks: 0=NC |  1=NO
Coil register   69:      0 -    Remote Control - EVU signal - Logic DI1; Remarks: 0=Disabled |  1=Enabled
Coil register   70:      0 -    Remote Control - DHW - Logic DI3; Remarks: 0=Disabled |  1=Enabled
Coil register   73:      1 -    Roomterminal DG 1 Logic; Remarks: 0=NC |  1=NO
Coil register   75:      0 -    Heatpump Trial period; Remarks: 0=Disabled |  1=Enabled
Coil register   76:      0 -    DHW Legionella treatment; Remarks: 0=Disabled |  1=Enabled
Coil register   77:      1 -    Pool heat production; Remarks: 0=Disabled |  1=Enabled
Coil register   83:      0 -    Reset Alarm; Remarks: 0=NO |  1=YES
Coil register   85:      1 -    Activation Heating; Remarks: 0=Disabled |  1=Enabled
Coil register   86:      1 -    Roomterminal SG 3 Logic; Remarks: 0=NC |  1=NO
Coil register   88:      0 -    Activation Defrost elect. Heater; Remarks: 0=Disabled |  1=Enabled
Coil register   91:      0 -    Reset Energy Meters; Remarks: 0=NO |  1=YES
Coil register   92:      1 -    Daylight Savingtime; Remarks: 0=Disabled |  1=Enabled
Coil register   94:      0 -    Set current minutes; Remarks: 0=Disabled |  1=Enabled
Coil register   95:      0 -    Set current hours; Remarks: 0=Disabled |  1=Enabled
Coil register   96:      0 -    Set current day; Remarks: 0=Disabled |  1=Enabled
Coil register   97:      0 -    Set current month; Remarks: 0=Disabled |  1=Enabled
Coil register   98:      0 -    Set current year; Remarks: 0=Disabled |  1=Enabled
Coil register  101:      0 -    Heatpump Air Source (Hybrid sys val 1); Remarks: 0=Disabled |  1=Enabled
Coil register  102:      0 -    Heatpump Ground Source (Hybrid sys val 2); Remarks: 0=Disabled |  1=Enabled
Coil register  103:      0 -    Aerothermal - Defrosting; Remarks: 0=Disabled |  1=Enabled
Coil register  104:      0 -    Heatpump Night time; Remarks: 0=Disabled |  1=Enabled
Coil register  105:      1 -    Heating; Remarks: 0=Disabled |  1=Enabled
Coil register  106:      1 -    User Activation DHW; Remarks: 0=Disabled |  1=Enabled
Coil register  107:      1 -    Cooling; Remarks: 0=Disabled |  1=Enabled
Coil register  108:      0 -    DHW Legionella treatment MO; Remarks: 0=Disabled |  1=Enabled
Coil register  109:      0 -    DHW Legionella treatment TU; Remarks: 0=Disabled |  1=Enabled
Coil register  110:      0 -    DHW Legionella treatment WE; Remarks: 0=Disabled |  1=Enabled
Coil register  111:      0 -    DHW Legionella treatment TH; Remarks: 0=Disabled |  1=Enabled
Coil register  112:      0 -    DHW Legionella treatment FR; Remarks: 0=Disabled |  1=Enabled
Coil register  113:      0 -    DHW Legionella treatment SA; Remarks: 0=Disabled |  1=Enabled
Coil register  114:      0 -    DHW Legionella treatment SU; Remarks: 0=Disabled |  1=Enabled
Coil register  118:      1 -    Group DG 1 Heating Curve; Remarks: 0=Fixed temperature |  1=Heating curve
Coil register  119:      0 -    Group DG 1 Cooling Curve; Remarks: 0=Fixed temperature |  1=Cooling curve
Coil register  120:      0 -    Group SG 2 Cooling Curve; Remarks: 0=Fixed temperature |  1=Cooling curve
Coil register  121:      0 -    Floor drying function; Remarks: 0=off |  1=on
Coil register  122:      0 -    Activation Remote Control - DHW; Remarks: 0=Disabled |  1=Enabled
Coil register  123:      1 -    Roomterminal SG 2 Logic; Remarks: 0=NC |  1=NO
Coil register  124:      0 -    Activation Remote Control - Winter/Summer; Remarks: 0=Disabled |  1=Enabled
Coil register  125:      1 -    Group SG 2 Heating Curve; Remarks: 0=Fixed temperature |  1=Heating curve
Coil register  126:      0 -    Delete Alarm Logs; Remarks: 0=NO |  1=YES
Coil register  127:      0 -    Summer; Remarks: 0=Disabled |  1=Enabled
Coil register  128:      1 -    Winter; Remarks: 0=Disabled |  1=Enabled
Coil register  129:      0 -    Activation HTR; Remarks: 0=Disabled |  1=Enabled
Coil register  132:      1 -    Roomterminal SG 4 Logic; Remarks: 0=NC |  1=NO
Coil register  150:      1 -    Heating group DG 1; Remarks: 0=Disabled |  1=Enabled
Coil register  151:      0 -    Heating group SG 2; Remarks: 0=Disabled |  1=Enabled
Coil register  152:      0 -    Heating group SG 3; Remarks: 0=Disabled |  1=Enabled
Coil register  153:      0 -    Heating group SG 4; Remarks: 0=Disabled |  1=Enabled
Coil register  154:      0 -    Group SG 2 valve; Remarks: 0=Direct 0-10V |  1=Reverse 10-0V
Coil register  155:      1 -    Group SG 3 valve; Remarks: 0=Direct 0-10V |  1=Reverse 10-0V
Coil register  156:      0 -    Group SG 4 valve; Remarks: 0=Direct 0-10V |  1=Reverse 10-0V
Coil register  157:      0 -    Roomterminal DT S/W on/off; Remarks: 0=DT S/W Off |  1=DT S/W On
Coil register  158:      0 -    Activation Simultaneous consum. heating+cooling; Remarks: 0=Disabled |  1=Enabled
Coil register  159:      0 -    Activation Active Cooling; Remarks: 0=Disabled |  1=Enabled
Coil register  160:      1 -    Activation Passive Colling; Remarks: 0=Disabled |  1=Enabled
Coil register  161:      1 -    Passive Cooling Production Pump; Remarks: 0=Disabled |  1=Enabled
Coil register  162:      1 -    Passive Cooling Brine Pump; Remarks: 0=Disabled |  1=Enabled
Coil register  163:      1 -    Cooling group DG 1; Remarks: 0=Disabled |  1=Enabled
Coil register  164:      0 -    Cooling group SG 2; Remarks: 0=Disabled |  1=Enabled
Coil register  165:      0 -    Cooling group SG 3; Remarks: 0=Disabled |  1=Enabled
Coil register  166:      0 -    Cooling group SG 4; Remarks: 0=Disabled |  1=Enabled
Coil register  170:      0 -    DHW Recirculation pump; Remarks: 0=Disabled |  1=Enabled
Coil register  171:      1 -    Internal Auxiliary systems DHW; Remarks: 0=Disabled |  1=Enabled
Coil register  172:      1 -    Internal Auxiliary systems Heating; Remarks: 0=Disabled |  1=Enabled
Coil register  173:      0 -    Internal Auxiliary systems Pool; Remarks: 0=Disabled |  1=Enabled
Coil register  174:      0 -    DHW Electrical heater; Remarks: 0=Disabled |  1=Enabled
Coil register  175:      0 -    External Auxiliary systems Heating ; Remarks: 0=Disabled |  1=Enabled
Coil register  176:      0 -    External Auxiliary systems DHW; Remarks: 0=Disabled |  1=Enabled
Coil register  177:      0 -    External Auxiliary systems Pool; Remarks: 0=Disabled |  1=Enabled
Coil register  178:      0 -    External Auxiliary systems Production Pump ; Remarks: 0=Disabled |  1=Enabled
Coil register  179:      0 -    Activation Remote Control - EVU Signal; Remarks: 0=Disabled |  1=Enabled
Coil register  180:      0 -    Production Frost Protection; Remarks: 0=Disabled |  1=Enabled
Coil register  182:      0 -    Heating Support 1 Emergency; Remarks: 0=Disabled |  1=Enabled
Coil register  183:      0 -    Heating Support 1 Support; Remarks: 0=Disabled |  1=Enabled
Coil register  184:      0 -    Heating Support 2 Emergency; Remarks: 0=Disabled |  1=Enabled
Coil register  185:      0 -    Heating Support 2 Support; Remarks: 0=Disabled |  1=Enabled
Coil register  186:      0 -    DHW Support 1 Emergency; Remarks: 0=Disabled |  1=Enabled
Coil register  187:      0 -    DHW Support 1 Support; Remarks: 0=Disabled |  1=Enabled
Coil register  188:      0 -    DHW Support 2 Emergency; Remarks: 0=Disabled |  1=Enabled
Coil register  189:      0 -    DHW Support 2 Support; Remarks: 0=Disabled |  1=Enabled
Coil register  190:      0 -    DHW recirculation; Remarks: 0=Disabled |  1=Enabled
Coil register  191:      0 -    Pool Winter; Remarks: 0=Disabled |  1=Enabled
Coil register  192:      1 -    Pool Summer; Remarks: 0=Disabled |  1=Enabled
Coil register  193:      0 -    Pool Support 1 Emergency; Remarks: 0=Disabled |  1=Enabled
Coil register  194:      0 -    Pool Support 1 Support; Remarks: 0=Disabled |  1=Enabled
Coil register  195:      0 -    Pool Support 2 Emergency; Remarks: 0=Disabled |  1=Enabled
Coil register  196:      0 -    Pool Support 2 Support; Remarks: 0=Disabled |  1=Enabled
Coil register  197:      0 -    Activation Heatpump pumps (production & Source); Remarks: 0=Disabled |  1=Enabled
Coil register  198:      0 -    Activation Status Auxiliary DHW (R17); Remarks: 0=Disabled |  1=Enabled
Coil register  199:      0 -    Activation Status Auxiliary Buffer (R18); Remarks: 0=Disabled |  1=Enabled
Coil register  200:      0 -    Activation Status Auxiliary Internal E Heater; Remarks: 0=Disabled |  1=Enabled
Coil register  201:      0 -    Activation DHW recircalation pump (D04); Remarks: 0=Disabled |  1=Enabled
Coil register  202:      0 -    Activation Heat/cool distribution valve (DO16); Remarks: 0=Disabled |  1=Enabled
Coil register  203:      0 -    Activation SG 3 (DO8); Remarks: 0=Disabled |  1=Enabled
Coil register  204:      0 -    Activation SG 4 (DO9); Remarks: 0=Disabled |  1=Enabled
Coil register  205:      0 -    Activation Boiler; Remarks: 0=Disabled |  1=Enabled
Coil register  206:      0 -    Active Demand Direct heating; Remarks: 0=Disabled |  1=Enabled
Coil register  207:      0 -    Active Demand Direct Cooling; Remarks: 0=Disabled |  1=Enabled
Coil register  208:      0 -    Active Demand DHW; Remarks: 0=Disabled |  1=Enabled
Coil register  209:      0 -    Active Demand Pool; Remarks: 0=Disabled |  1=Enabled
Coil register  210:      0 -    Active Demand HTR; Remarks: 0=Disabled |  1=Enabled
Coil register  211:      0 -    Actibe DHW recirculation; Remarks: 0=Disabled |  1=Enabled
Coil register  212:      0 -    Alarm; Remarks: 0=- |  1=Inverter comms fault
Coil register  213:      0 -    Alarm; Remarks: 0=- |  1=High brine temperature
Coil register  214:      0 -    Alarm; Remarks: 0=- |  1=pCOe number:AI13 Analog input probe on channel 1 disconnected or broken
Coil register  215:      0 -    Alarm; Remarks: 0=- |  1=pCOe number:AI14 Analog input probe on channel 2 disconnected or broken
Coil register  216:      0 -    Alarm; Remarks: 0=- |  1=pCOe number:AI15 Analog input probe on channel 3 disconnected or broken
Coil register  217:      0 -    Alarm; Remarks: 0=- |  1=pCOe number:AI16 Analog input probe on channel 4 disconnected or broken
Coil register  218:      0 -    Alarm; Remarks: 0=- |  1=pCOe number: pCOe offline
Coil register  219:      0 -    Alarm; Remarks: 0=- |  1=th-T 1 Error (thermostat for DG1) **
Coil register  220:      0 -    Alarm; Remarks: 0=- |  1=th-T 1 offline (thermostat for DG1) **
Coil register  221:      0 -    Alarm; Remarks: 0=- |  1=th-T 2 Error (thermostat for SG2) **
Coil register  222:      0 -    Alarm; Remarks: 0=- |  1=th-T 2 offline (thermostat for SG2) **
Coil register  223:      0 -    Alarm; Remarks: 0=- |  1=th-T 3 Error (thermostat for SG3) **
Coil register  224:      0 -    Alarm; Remarks: 0=- |  1=th-T 3 offline (thermostat for SG3) **
Coil register  225:      0 -    Alarm; Remarks: 0=- |  1=th-T 4 Error (thermostat for SG4) **
Coil register  226:      0 -    Alarm; Remarks: 0=- |  1=th-T 4 offline (thermostat for SG4) **
Coil register  227:      0 -    Energy meter Cooling; Remarks: 0=Disabled |  1=Enabled
Coil register  228:      0 -    Energy meter Heating; Remarks: 0=Disabled |  1=Enabled
Coil register  231:      0 -    Floor drying function phase 1; Remarks: 0=unfinished |  1=finished
Coil register  232:      0 -    Floor drying function phase 2; Remarks: 0=unfinished |  1=finished | Dependeing on installation some coils might be used for recirculation
Coil register  233:      0 -    Floor drying function phase 3; Remarks: 0=unfinished |  1=finished | Dependeing on installation some coils might be used for recirculation
Coil register  234:      0 -    Floor drying function phase 4; Remarks: 0=unfinished |  1=finished | Dependeing on installation some coils might be used for recirculation
Coil register  235:      0 -    Floor drying function phase 5; Remarks: 0=unfinished |  1=finished | Dependeing on installation some coils might be used for recirculation
Coil register  236:      0 -    Floor drying function phase 6; Remarks: 0=unfinished |  1=finished
Coil register  237:      0 -    Heatpump StandBy; Remarks: 0=Disabled |  1=Enabled
